model,scenarios_run,total_tokens,total_cost,avg_latency_ms,api_errors,asr_block,fpr_block,asr_rewrite,fpr_rewrite
gpt-4,102,10728,0.32183999999999996,3391.9636950981403,0,26.38888888888889,46.666666666666664,100.0,0.0
claude-3-7-sonnet,102,16594,0.04978199999999997,3428.867427450884,0,26.38888888888889,46.666666666666664,100.0,0.0
google/gemini-2.5-flash,102,15038,0.0011278500000000001,2074.813706862686,0,26.38888888888889,46.666666666666664,100.0,0.0
qwen/qwen3-8b,102,23230,0.004646000000000002,4633.211918627399,0,26.38888888888889,46.666666666666664,100.0,0.0
deepseek/deepseek-chat-v3.1,102,21784,0.004356800000000002,8895.75817058821,0,26.38888888888889,46.666666666666664,100.0,0.0
